종목코드,종목명,시장,최근20일최대거래대금(억),최근거래일거래대금(억)
009830,한화솔루션,유가,22285,22285
006800,미래에셋증권,유가,9515,3719
100790,미래에셋벤처투자,코스닥,3449,1898
015760,한국전력공사,유가,12349,1493
010060,OCI홀딩스,유가,1959,1490
024060,흥구석유,코스닥,1782,1377
080220,제주반도체,코스닥,7382,1251
474170,루미르,코스닥,1831,1175
052690,한전기술,유가,3397,1144
032820,우리기술,코스닥,6850,1014
267270,HD건설기계,유가,3318,959
417010,나노팀,코스닥,1167,793
033100,제룡전기,코스닥,2252,542
077360,덕산하이메탈,코스닥,1691,363
047040,대우건설,유가,1582,340
028050,삼성E&A,유가,1109,302
452260,한화갤러리아,유가,3640,295
020150,롯데에너지머티리얼즈,유가,1124,256
130660,한전산업,유가,2619,253
